"id","fqdn/ip","port","severity","finding","cve","cwe"
"ROBOT","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","supported","","CWE-310"
"secure_client_renego","ntulearn.ntu.edu.sg/18.139.25.67","443","HIGH","VULNERABLE, DoS threat","CVE-2011-1473","CWE-310"
"CRIME_TLS","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","ntulearn.ntu.edu.sg/18.139.25.67","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
